471,EGY,2008
471,EGY,2016
472,EGY,1952
473,EGY,2000
474,EGY,1984
475,EGY,1992
476,EGY,2000
477,EGY,1984
478,EGY,1948
479,SYR,2000
480,EGY,1948
480,EGY,1952
481,EGY,1976
481,EGY,1984
482,EGY,1984
483,EGY,1948
483,EGY,1952
484,UAR,1960
484,EGY,1964
485,IRQ,1988
486,MAR,2000
487,NIG,1988
488,QAT,2004
488,QAT,2008
489,IRQ,1992
490,LBA,1988
491,ALG,1984
492,IRQ,1984
493,ALG,2012
494,EGY,2016
495,EGY,2012
495,EGY,2016
496,EGY,1992
497,EGY,1968
498,EGY,2004
499,LIB,1992
500,MLI,2004
501,EGY,2012
502,AFG,1956
503,NGR,1972
504,USA,1996
505,GER,1912
506,ROU,1936
507,HUN,1988
507,HUN,1992
508,GER,1906
509,GBR,1976
509,GBR,1980
510,CHI,2016
511,SUI,2016
512,IND,1984
512,IND,1988
512,IND,1992
512,IND,1996
513,POL,1980
514,SWE,2000
514,SWE,2004
514,SWE,2008
515,FRA,1968
516,RSA,2008
517,CRC,1984
518,PAN,1976
519,GBR,1920
519,GBR,1924
520,GBR,1906
520,GBR,1912
521,NOR,1912
522,NOR,1988
523,NOR,1980
523,NOR,1984
524,USA,1984
525,USA,1972
525,USA,1976
526,SWE,1972
527,SWE,1920
528,SWE,1960
528,SWE,1964
529,SWE,1928
530,SWE,1972
531,USA,1972
532,GEO,2006
532,GEO,2010
532,GEO,2014
533,BLR,2016
534,UKR,2006
534,UKR,2010
534,UKR,2014
535,BLR,2010
535,BLR,2014
536,MAR,1992
537,GEO,1996
538,SLO,1996
539,GEO,1994
539,GEO,1998
540,URS,1960
541,RUS,2008
542,URS,1964
543,RUS,2004
544,RUS,1994
545,URS,1980
546,URS,1988
547,URS,1964
548,RUS,2006
548,RUS,2010
549,CRO,2006
550,RUS,2010
551,GUY,2016
552,GUY,1988
553,NZL,1956
553,NZL,1960
554,GEO,2016
555,POR,1988
555,POR,1992
555,POR,1996
556,POR,2008
556,POR,2012
557,POR,1988
558,FRA,1996
559,BUL,1994
560,SUI,2012
561,GER,1994
562,POL,1992
562,POL,1998
562,POL,2002
563,POR,2016
564,CUB,1976
565,BRA,2004
566,POR,1968
567,PAR,1976
568,ANG,2008
569,BRA,1984
570,CUB,1980
571,VEN,1996
572,POR,1976
572,POR,1980
573,FRA,1988
574,COL,2012
574,COL,2016
575,COL,2012
576,ESP,2016
577,SWE,1912
578,DJI,2016
579,RUS,2016
580,RUS,2000
580,RUS,2008
581,ROU,1952
582,URS,1980
583,FRA,2004
583,FRA,2008
583,FRA,2012
583,FRA,2016
584,ETH,2012
585,USA,1988
586,GER,2002
587,FRG,1988
588,RUS,2002
589,IRI,2008
590,BAN,2008
591,IRQ,2004
592,KSA,1984
593,JOR,2012
593,JOR,2016
594,MAS,1992
594,MAS,1996
595,PLE,1996
596,PLE,2012
597,EGY,1936
598,JOR,2000
598,JOR,2004
599,KAZ,1996
600,SUD,2004
600,SUD,2008
601,PLE,2004
602,CHN,2000
603,KEN,1988
604,NGR,2008
605,PER,1968
606,PER,1964
606,PER,1968
607,LBA,2004
608,JOR,2016
609,SOM,2004
610,JPN,1960
610,JPN,1964
611,PLE,2016
612,JOR,2012
613,KSA,2016
614,MEX,1996
615,KUW,1984
616,JPN,2004
617,MEX,2004
618,URS,1976
618,URS,1980
619,URS,1980
620,KAZ,2008
620,KAZ,2012
621,QAT,2004
622,JOR,1988
623,RUS,2008
623,RUS,2012
624,TUR,1968
625,TUR,1948
625,TUR,1952
626,FRA,1972
626,FRA,1976
627,ROU,2008
628,FRA,1972
628,FRA,1976
629,FRA,2012
630,ESP,1996
631,ITA,1948
632,ITA,1948
633,SUI,1994
633,SUI,1998
634,SUI,1988
634,SUI,1992
634,SUI,1994
634,SUI,1998
634,SUI,2002
635,ITA,1908
636,CHI,1948
637,CUB,2000
638,CUB,2012
639,ESP,1920
640,ESP,1992
641,CHI,1960
642,USA,1928
643,ITA,1972
644,URU,1988
645,ESA,1968
646,PUR,1992
647,COL,1992
648,COL,1972
649,PER,1968
649,PER,1972
650,CAN,2016
651,VEN,2008
652,COL,2016
653,COL,2016
654,MEX,1984
655,MEX,1984
656,GBR,1968
656,GBR,1972
657,IRI,1976
658,BEL,2016
659,MAR,1992
660,MEX,2016
661,PHI,1960
662,ESP,2012
663,IND,2004
663,IND,2008
663,IND,2016
664,GBR,2012
665,FRA,1948
666,GER,2000
667,GHA,1964
668,GHA,2016
669,GHA,1992
670,SUI,1984
671,LIB,2010
672,UGA,1984
673,MAR,1988
674,MAR,1988
674,MAR,1992
674,MAR,1996
675,GBR,2000
675,GBR,2008
676,FRA,1900
677,FRA,1924
